M,N,C,D,T,seed,formulation,mipgap,runtime,bnbcnt,objval_LP,objbnd,objval
5,2,3,10,2,1,TEOM,0.08128196537,10800.50108,21113,611.1559922,855.8892244,931.612521
5,2,3,10,2,1,TEOR,0.03865283797,10800.90236,20775,847.2146596,894.2227408,930.1767104
5,2,3,10,2,2,TEOC,0.0008479376691,10801.13248,15431,924.7554788,927.4648712,928.251971
5,2,3,10,2,2,TEOM,0.06917112474,10802.16058,21018,611.5758436,869.2173231,933.8100119
5,2,3,10,2,2,TEOR,0.03691909314,10801.40604,20471,848.206834,896.0880099,930.438973
5,2,3,10,2,3,TEOC,0.0003405783366,10800.61529,11422,924.8395642,928.4793625,928.7956902
5,2,3,10,2,3,TEOM,0.0948480654,10800.05547,23490,611.7677203,845.3584319,933.9409215
5,2,3,10,2,3,TEOR,0.03637668386,10800.94132,20735,846.7679995,897.4134757,931.2907447
5,2,3,10,2,4,TEOC,7.55E-05,7152.652237,13100,928.4067513,931.8693802,931.9397174
5,2,3,10,2,4,TEOM,0.09606758827,10800.24467,32248,613.7442104,845.4550435,935.307809
5,2,3,10,2,4,TEOR,0.03836029057,10800.82124,21026,852.6958228,897.6657578,933.4740953
5,2,3,10,2,5,TEOC,0.000858006699,10800.55449,18525,925.2479967,928.3330866,929.1302866
5,2,3,10,2,5,TEOM,0.06787407679,10816.75638,20980,616.0665709,868.1425502,931.3575865
5,2,3,10,2,5,TEOR,0.03302342939,10800.59321,20895,859.4016226,900.0203158,930.7571074
5,2,3,10,2,6,TEOC,0,7578.817916,7219,922.1623073,925.6101111,925.6101111
5,2,3,10,2,6,TEOM,0.06763395865,10800.21933,20801,612.6207155,867.0020619,929.8945086
5,2,3,10,2,6,TEOR,0.036761715,10801.01928,20856,844.2831507,895.2468511,929.4136924
5,2,3,10,2,7,TEOC,3.86E-05,2486.02344,3315,928.3254427,931.1525187,931.1884769
5,2,3,10,2,7,TEOM,0.1099900497,10800.10618,20829,612.8585335,830.7585221,933.4261058
