varindex,treeid,nodeid,pred,splitvar1,splitval1,splitvar,splitval,vartype,sol
163,10,21,0.959756,0,0,0,0.0,y,0.0
164,10,22,1.886231,0,0,0,0.0,y,0.0
165,10,27,0.7341440000000001,0,0,0,0.0,y,0.0
166,10,28,1.0927267,0,0,0,0.0,y,0.0
167,10,29,0.06003100000000006,0,0,0,0.0,y,0.0
168,10,30,0.2891830000000001,0,0,0,0.0,y,0.0
169,10,32,2.26934,0,0,0,0.0,y,0.0
170,10,33,1.4171330000000002,0,0,0,0.0,y,0.0
171,0,0,0.0,1,1,1,0.0692164,x,-0.0
172,0,0,0.0,1,2,1,0.0694418,x,0.0
173,0,0,0.0,1,3,1,0.0700339,x,-0.0
174,0,0,0.0,1,4,1,0.0707548,x,-0.0
175,0,0,0.0,1,5,1,0.0786523,x,-0.0
176,0,0,0.0,1,6,1,0.0819223,x,-0.0
177,0,0,0.0,1,7,1,0.0823099,x,-0.0
178,0,0,0.0,1,8,1,0.0835073,x,-0.0
179,0,0,0.0,1,9,1,0.0888248,x,-0.0
180,0,0,0.0,1,10,1,0.0888829,x,-0.0
181,0,0,0.0,1,11,1,0.0897972,x,-0.0
182,0,0,0.0,1,12,1,0.100023,x,-0.0
183,0,0,0.0,1,13,1,0.102228,x,-0.0
184,0,0,0.0,1,14,1,0.104929,x,-0.0
185,0,0,0.0,1,15,1,0.111926,x,-0.0
186,0,0,0.0,1,16,1,0.111936,x,-0.0
187,0,0,0.0,1,17,1,0.120358,x,-0.0
188,0,0,0.0,1,18,1,0.128498,x,-0.0
189,0,0,0.0,1,19,1,0.133479,x,-0.0
190,0,0,0.0,1,20,1,0.134424,x,-0.0
191,0,0,0.0,1,21,1,0.135103,x,-0.0
192,0,0,0.0,1,22,1,0.135159,x,-0.0
193,0,0,0.0,1,23,1,0.138863,x,-0.0
194,0,0,0.0,1,24,1,0.141757,x,-0.0
195,0,0,0.0,1,25,1,0.148967,x,-0.0
196,0,0,0.0,1,26,1,0.149237,x,0.0
197,0,0,0.0,1,27,1,0.150012,x,1.0
198,0,0,0.0,1,28,1,0.153396,x,1.0
199,0,0,0.0,1,29,1,0.157098,x,1.0
200,0,0,0.0,1,30,1,0.160918,x,1.0
201,0,0,0.0,1,31,1,0.170261,x,1.0
202,0,0,0.0,1,32,1,0.171213,x,1.0
203,0,0,0.0,1,33,1,0.171311,x,1.0
204,0,0,0.0,1,34,1,0.186723,x,1.0
205,0,0,0.0,2,1,2,0.00285474,x,-0.0
206,0,0,0.0,2,2,2,0.00330761,x,-0.0
207,0,0,0.0,2,3,2,0.00391446,x,-0.0
208,0,0,0.0,2,4,2,0.00569404,x,-0.0
209,0,0,0.0,2,5,2,0.0105781,x,-0.0
210,0,0,0.0,2,6,2,0.0195731,x,-0.0
211,0,0,0.0,2,7,2,0.0201232,x,-0.0
212,0,0,0.0,2,8,2,0.023215,x,-0.0
213,0,0,0.0,2,9,2,0.023551,x,-0.0
214,0,0,0.0,2,10,2,0.0307369,x,-0.0
215,0,0,0.0,2,11,2,0.0457084,x,-0.0
216,0,0,0.0,2,12,2,0.0536637,x,-0.0
